COWNum;COWID;StateName;OtherName;ISD_Category;Region;Start;Start_Am;EStart;EStart_Am;Declare;DecDate;Population;PopDate;PopAm;PopulationHigh;PopulationLow;StartType;StartType_Am;StartSettle;End;End_Am;EndType;EndType_Am;EndSettle;Sovereignty_Am;EuroDip;Borders;Borders_Am;Latitude;Longitude;VioStart;VioStart_Am;VioEnd;VioEnd_Am
5814;MOH;Moheli;Mwali;3;1;01-01-1830;0;-9;-9;0;-9;-9;-9;1;-9;-9;2;0;0;31-12-1886;1;1;0;1;0;1;1;0;12 16 48 S;43 44 33 E;-9;-9;-9;1
600;MOR;Morocco;The Morocco Sultanate;2;1;01-01-1816;0;1578;1;0;-9;1000000;1906;0;5000000;-9;2;0;0;30-03-1912;0;1;0;1;0;1;0;1;31 38 02.3 N;7 59 11.7 W;1;1;1;0
600;MOR;Morocco;-9;1;1;2-3-1956;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
541;MZM;Mozambique;-9;1;1;25-6-1975;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
5603;MTW;Mthetwa;Mtetwa, Mthethwa Paramountcy;3;1;01-01-1816;0;1810;1;0;-9;-9;-9;1;-9;-9;1;1;0;31-12-1817;1;3;0;0;0;0;1;0;28 30 54 S;31 50 55 E;0;0;0;1
565;NAM;Namibia;-9;1;1;21-3-1990;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
5602;NDW;Ndwandwe Kingdom;-9;3;1;01-01-1816;0;1750;1;0;-9;-9;-9;1;-9;-9;-9;-9;0;31-12-1820;0;2;0;0;0;0;0;1;27 53 0 S;31 38 0 E;0;0;1;0
436;NIR;Niger;-9;1;1;3-10-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
475;NIG;Nigeria;-9;1;1;1-10-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4761;NUP;Nupe;-9;3;1;01-01-1816;0;1500;1;0;-9;100000;1830;0;-9;-9;1;1;0;31-12-1832;0;2;0;0;0;1;0;0;9 12 39.7 N;5 01 46.5 E;1;0;1;0
5110;NYA;Nyungu Kingdom;-9;3;1;01-01-1880;0;-9;-9;0;-9;100000;1884;0;200000;-9;1;1;0;31-12-1894;0;1;0;1;0;1;0;0;5 55 42.7 S;34 09 57.9 E;1;0;0;0
4395;OGD;Oaugadougou;Wagadugu, Mossi;3;1;01-01-1816;0;1400;1;0;-9;750000;1958;0;-9;-9;1;1;0;31-09-1896;0;1;0;0;0;1;0;1;12 21 26 N;1 32 7 W;1;0;1;0
564;OFS;Orange Free State;-9;1;1;23-02-1854;0;-9;-9;1;23-02-1854;210000;1875;0;528000;100000;5;1;1;31-05-1902;0;1;0;1;0;1;1;0;29 07 0 S;26 13 0 E;1;0;1;0
5402;OVI;Ovimbundu;Southern Mbundu Umbundu Mambari Kimbanda;2;1;01-01-1816;0;1770;1;0;-9;1000000;1859;0;1000000;100000;1;0;0;30-09-1902;0;1;0;0;0;1;0;0;12 11 45 S;15 51 20 E;1;0;1;0
4775;OYO;Oyo Empire;Yoruda Oyo Empire Old Oyo Empire Oyo-Ile;2;1;01-01-1816;0;1600;1;0;-9;1000000;1700;0;1000000;-9;2;0;0;31-12-1833;0;2;0;0;0;1;0;0;7 50 21.7 N;3 56 15.4 E;1;0;1;0
5521;ROZ;Rozvi Empire;Changamire Rozvi Rozwe Mutapa Empire;3;1;01-01-1816;0;1696;0;0;-9;1000000;1700;0;1000000;-9;2;0;0;31-12-1834;0;2;0;0;0;1;0;0;20 08 25.8 S;28 25 32.0 E;1;0;1;0
517;RWA;Ruanda;Nigina Kingdom of Rwanda, Nyiginya;2;1;01-01-1816;0;1650;1;0;-9;2000000;1844;0;2000000;-9;1;0;0;31-12-1894;1;1;0;0;0;1;0;0;1 56 38 S;30 3 34 E;1;0;0;0
517;RWA;Rwanda;-9;1;1;1-7-1962;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4335;SAL;Saloum;Kingdom of Salum;2;1;01-01-1816;0;1600;1;0;-9;80000;1887;0;300000;80000;2;0;0;31-12-1865;1;2;0;0;0;1;0;0;14 09 41 N;16 01 51 W;1;0;1;0
403;STP;Sao Tome and Principe;-9;1;1;12-7-1975;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4327;SEG;Segou;The Bambara Kingdom of Segou (or Segu);1;1;01-01-1816;0;1712;0;0;-9;200000;1712;0;-9;-9;1;0;0;10-03-1861;0;2;0;0;0;0;0;0;13 43 59.6 N;5 36 58.7 W;1;1;1;0
433;SEN;Senegal;-9;1;1;20-8-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
591;SEY;Seychelles;-9;1;1;29-6-1976;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
6255;SHI;Shilluk Kingdom;Collo (or Chollo) Kingdom;3;1;01-01-1816;0;1700;1;0;-9;500000;1860;0;100000;100000;1;0;0;31-12-1863;0;1;0;0;0;0;0;1;9 53 17.8 N;32 06 33.2 E;1;0;1;0
5303;SHO;Shoa;Shewa;2;1;01-01-1816;0;1813;1;0;-9;1250000;1844;0;450000;-9;2;0;0;03-11-1889;0;3;1;1;0;0;0;1;9 35 51.2 N;39 44 13.4 E;1;0;1;0
451;SIE;Sierra Leone;-9;1;1;27-4-1961;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4328;SKO;Sikasso;-9;3;1;01-01-1816;0;1750;0;0;-9;100000;1898;0;-9;-9;1;1;-9;01-05-1898;0;1;0;0;0;1;0;1;11 19 0 N;5 40 0 W;1;0;1;0
4383;SIS;Sise Empire;Moriuledugu Kingdom Madina Kingdom;3;1;01-01-1835;0;-9;-9;0;-9;-9;-9;1;-9;-9;1;0;0;31-12-1881;0;2;0;0;0;0;0;1;10 39 03.7 N;9 25 10.5 W;1;0;1;0
4751;SOK;Sokoto Caliphate;Sokoto-Gando Empire;1;1;01-01-1816;0;1804;0;0;-9;6000000;1916;0;10000000;-9;2;0;0;15-03-1903;0;1;0;0;0;1;0;1;13 00 16.1 N;5 14 47.0 E;1;0;1;0
520;SOM;Somalia;-9;1;1;1-7-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
560;SAF;South Africa;Union of South Africa;1;1;10-01-1885;1;-9;-9;0;-9;6078000;1910;0;6078000;-9;2;1;1;31-12-2016;0;-9;-9;-9;0;1;1;0;25 44 46 S;28 11 17 E;0;0;-9;-9
626;SSD;South Sudan;-9;1;1;9-7-2011;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
625;SUD;Sudan;Nubia Dervish Empire, Mahdist State;2;1;01-06-1885;0;-9;-9;1;25-01-1885;1500000;1904;0;8500000;1500000;2;1;0;02-09-1898;0;1;0;0;0;1;1;0;15 38 35.3 N;32 29 06.0 E;1;0;1;0
625;SUD;Sudan;-9;1;1;1-1-1956;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
5332;AWS;Sultanate of Aussa;Awsa Sultanate;3;1;01-01-1816;0;1734;0;0;-9;100000;1894;0;-9;-9;2;0;0;31-12-1944;0;2;0;0;0;0;0;1;11 34 0 N;41 26 0 E;1;0;1;0
572;SWA;Swaziland;-9;1;1;6-9-1968;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
510;TAZ;Tanzania;-9;1;1;9-12-1961;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
6257;TEG;Tegali Kingdom;Nuba Tegali (Takali or Taqali) Kingdom;3;1;01-01-1816;0;1780;1;0;-9;3180000;1920;0;-9;-9;1;0;0;31-12-1884;0;2;0;1;0;1;0;0;12 09 15.9 N;31 15 48.9 E;1;0;1;0
4841;TEK;Teke Kingdom;Tio Macoco (Makoko) Anziku (Ansiku) Kingdom, Bateke (Anzico);3;1;01-01-1816;0;1535;1;0;-9;500000;1883;0;2000000;-9;1;0;0;31-12-1883;0;1;0;1;0;1;0;0;3 59 56.1 S;15 26 10.7 E;1;0;0;0
4399;TNG;Tenkodogo;-9;3;1;01-01-1816;0;1400;1;0;-9;120000;1958;1;-9;-9;2;1;0;31-12-1896;0;1;0;0;0;1;0;0;11 47 0 N;0 22 0 W;1;0;1;0
461;TOG;Togo;-9;1;1;27-4-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4321;TOK;Tokolor;Tukolor (or Toucouleur) Empire;1;1;01-01-1848;0;-9;-9;0;-9;1000000;1852;0;1000000;400000;2;1;0;29-04-1893;0;1;0;0;0;1;0;0;13 25 51.0 N;6 15 14.4 W;1;0;1;0
7527;TNK;Tonk;-9;3;1;01-01-1816;0;1798;1;0;-9;182000;1875;0;-9;-9;1;0;1;31-12-1817;0;1;0;1;1;1;0;1;26 10 12 N;75 46 48 E;1;0;0;1
5005;TOR;Toro;Butoro;3;1;01-01-1830;1;-9;-9;1;-9;200000;1962;1;-9;-9;2;0;1;31-12-1900;0;1;0;1;0;1;0;1;0 36 0 N;30 18 0 E;1;0;0;0
563;TRA;Transvaal;Transvaal Republic or South African Republic;2;1;17-01-1852;1;-9;-9;0;-9;275000;1874;0;1040000;100000;5;1;1;12-04-1877;0;1;0;1;0;1;1;0;25 44 46 S;28 11 17 E;1;0;1;0
